FRENTE AMPLIO,516,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
INTEGRACION NACIONAL,5432,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
LIBERACION NACIONAL,9590,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
MOVIMIENTO LIBERTARIO,650,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
NUEVA GENERACION,576,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
RENOVACION COSTARRICENSE,387,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
REPUBLICANO SOCIAL CRISTIANO,2564,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
RESTAURACION NACIONAL,15886,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
UNIDAD SOCIAL CRISTIANA,9907,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
NULO,396,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
BLANCO,77,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30
ACCESIBILIDAD SIN EXCLUSION,42,SAN JOSE,SANTA ANA,49123.00,61.42,799.79,93.15,91.71,14235.00,3.43,76.85,3.77,98.44,10.56,26.93,75.94,49.09,13.79,18.88,9.87,13.55,29.76,10.17
